 ENERGY RELATIVELY TO THE GROUND STATE: FISSION BARRIER
         r         e       der
     94.80     -2.30     -0.03
     94.90     -2.30     -0.03
     95.00     -2.30     -0.03
     95.10     -2.31     -0.03
     95.20     -2.31     -0.03
     95.30     -2.31     -0.03
     95.40     -2.32     -0.03
     95.50     -2.32     -0.03
     95.60     -2.32     -0.03
     95.70     -2.32     -0.03
     95.80     -2.33     -0.03
     95.90     -2.33     -0.03
     96.00     -2.33     -0.03
     96.10     -2.33     -0.03
     96.20     -2.34     -0.03
     96.30     -2.34     -0.03
     96.40     -2.34     -0.03
     96.50     -2.34     -0.03
     96.60     -2.35     -0.03
     96.70     -2.35     -0.03
     96.80     -2.35     -0.03
     96.90     -2.35     -0.03
     97.00     -2.36     -0.03
     97.10     -2.36     -0.03
     97.20     -2.36     -0.03
     97.30     -2.36     -0.02
     97.40     -2.37     -0.02
     97.50     -2.37     -0.02
     97.60     -2.37     -0.02
     97.70     -2.37     -0.02
     97.80     -2.38     -0.02
     97.90     -2.38     -0.02
     98.00     -2.38     -0.02
     98.10     -2.38     -0.02
     98.20     -2.39     -0.02
     98.30     -2.39     -0.02
     98.40     -2.39     -0.02
     98.50     -2.39     -0.02
     98.60     -2.40     -0.02
     98.70     -2.40     -0.02
     98.80     -2.40     -0.02
     98.90     -2.40     -0.02
     99.00     -2.41     -0.02
     99.10     -2.41     -0.02
     99.20     -2.41     -0.02
     99.30     -2.41     -0.02
     99.40     -2.41     -0.02
     99.50     -2.42     -0.02
     99.60     -2.42     -0.02
     99.70     -2.42     -0.02
     99.80     -2.42     -0.02
     99.90     -2.43     -0.02
    100.00     -2.43     -0.02
    100.10     -2.43     -0.02
    100.20     -2.43     -0.02
    100.30     -2.44     -0.02
    100.40     -2.44     -0.02
    100.50     -2.44     -0.02
    100.60     -2.44     -0.02
    100.70     -2.45     -0.02
    100.80     -2.45     -0.02
    100.90     -2.45     -0.02
    101.00     -2.45     -0.02
    101.10     -2.45     -0.02
    101.20     -2.46     -0.02
    101.30     -2.46     -0.02
